Product Type,Product Name,Texture,Color,Width,Length,Thickness,Exposure,HardieZone,SKU,URL,Warranty Substrate,Warranty Finish,Fire Rating,Review Count,Rating
HardiePlank Lap Siding,"HardiePlank Smooth 5-1/4"" in Arctic White",Smooth,Arctic White,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-SMO-ARC-51/4,/products/james-hardie/hardieplank/smooth/5-1/4/arctic-white,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Smooth 5-1/4"" in Cobble Stone",Smooth,Cobble Stone,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-SMO-COB-51/4,/products/james-hardie/hardieplank/smooth/5-1/4/cobble-stone,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Smooth 5-1/4"" in Navajo Beige",Smooth,Navajo Beige,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-SMO-NAV-51/4,/products/james-hardie/hardieplank/smooth/5-1/4/navajo-beige,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Smooth 5-1/4"" in Monterey Taupe",Smooth,Monterey Taupe,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-SMO-MON-51/4,/products/james-hardie/hardieplank/smooth/5-1/4/monterey-taupe,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Smooth 5-1/4"" in Khaki Brown",Smooth,Khaki Brown,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-SMO-KHA-51/4,/products/james-hardie/hardieplank/smooth/5-1/4/khaki-brown,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Smooth 5-1/4"" in Timber Bark",Smooth,Timber Bark,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-SMO-TIM-51/4,/products/james-hardie/hardieplank/smooth/5-1/4/timber-bark,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Smooth 5-1/4"" in Pearl Gray",Smooth,Pearl Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-SMO-PEA-51/4,/products/james-hardie/hardieplank/smooth/5-1/4/pearl-gray,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Smooth 5-1/4"" in Light Mist",Smooth,Light Mist,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-SMO-LIG-51/4,/products/james-hardie/hardieplank/smooth/5-1/4/light-mist,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Smooth 5-1/4"" in Gray Slate",Smooth,Gray Slate,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-SMO-GRA-51/4,/products/james-hardie/hardieplank/smooth/5-1/4/gray-slate,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Smooth 5-1/4"" in Night Gray",Smooth,Night Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-SMO-NIG-51/4,/products/james-hardie/hardieplank/smooth/5-1/4/night-gray,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Smooth 5-1/4"" in Boothbay Blue",Smooth,Boothbay Blue,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-SMO-BOO-51/4,/products/james-hardie/hardieplank/smooth/5-1/4/boothbay-blue,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Smooth 5-1/4"" in Evening Blue",Smooth,Evening Blue,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-SMO-EVE-51/4,/products/james-hardie/hardieplank/smooth/5-1/4/evening-blue,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Smooth 5-1/4"" in Aged Pewter",Smooth,Aged Pewter,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-SMO-AGE-51/4,/products/james-hardie/hardieplank/smooth/5-1/4/aged-pewter,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Smooth 5-1/4"" in Iron Gray",Smooth,Iron Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-SMO-IRO-51/4,/products/james-hardie/hardieplank/smooth/5-1/4/iron-gray,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Smooth 5-1/4"" in Mountain Sage",Smooth,Mountain Sage,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-SMO-MOU-51/4,/products/james-hardie/hardieplank/smooth/5-1/4/mountain-sage,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Select Cedarmill 5-1/4"" in Arctic White",Select Cedarmill,Arctic White,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-CED-ARC-51/4,/products/james-hardie/hardieplank/select-cedarmill/5-1/4/arctic-white,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Select Cedarmill 5-1/4"" in Cobble Stone",Select Cedarmill,Cobble Stone,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-CED-COB-51/4,/products/james-hardie/hardieplank/select-cedarmill/5-1/4/cobble-stone,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Select Cedarmill 5-1/4"" in Navajo Beige",Select Cedarmill,Navajo Beige,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-CED-NAV-51/4,/products/james-hardie/hardieplank/select-cedarmill/5-1/4/navajo-beige,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Select Cedarmill 5-1/4"" in Monterey Taupe",Select Cedarmill,Monterey Taupe,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-CED-MON-51/4,/products/james-hardie/hardieplank/select-cedarmill/5-1/4/monterey-taupe,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Select Cedarmill 5-1/4"" in Khaki Brown",Select Cedarmill,Khaki Brown,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-CED-KHA-51/4,/products/james-hardie/hardieplank/select-cedarmill/5-1/4/khaki-brown,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Select Cedarmill 5-1/4"" in Timber Bark",Select Cedarmill,Timber Bark,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-CED-TIM-51/4,/products/james-hardie/hardieplank/select-cedarmill/5-1/4/timber-bark,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Select Cedarmill 5-1/4"" in Pearl Gray",Select Cedarmill,Pearl Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-CED-PEA-51/4,/products/james-hardie/hardieplank/select-cedarmill/5-1/4/pearl-gray,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Select Cedarmill 5-1/4"" in Light Mist",Select Cedarmill,Light Mist,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-CED-LIG-51/4,/products/james-hardie/hardieplank/select-cedarmill/5-1/4/light-mist,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Select Cedarmill 5-1/4"" in Gray Slate",Select Cedarmill,Gray Slate,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-CED-GRA-51/4,/products/james-hardie/hardieplank/select-cedarmill/5-1/4/gray-slate,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Select Cedarmill 5-1/4"" in Night Gray",Select Cedarmill,Night Gray,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-CED-NIG-51/4,/products/james-hardie/hardieplank/select-cedarmill/5-1/4/night-gray,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Select Cedarmill 5-1/4"" in Boothbay Blue",Select Cedarmill,Boothbay Blue,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-CED-BOO-51/4,/products/james-hardie/hardieplank/select-cedarmill/5-1/4/boothbay-blue,30 years,15 years,Class A,250,4.8
HardiePlank Lap Siding,"HardiePlank Select Cedarmill 5-1/4"" in Evening Blue",Select Cedarmill,Evening Blue,5-1/4,"144""","0.3125""","4.0""",HZ5,JH-HARD-CED-EVE-51/4,/products/james-hardie/hardieplank/select-cedarmill/5-1/4/evening-blue,30 years,15 years,Class A,250,4.8
